review,sentiment,processed_review,token_count,original_word_count
"jeez, this was immensely boring. the leading man (Christian Schoyen) has got to be the worst actor i have ever seen. and another thing, if the character in the movie moved to America when he was ten or something and had been living here for over 20 years, he would speak a lot better English than what he pulls of here. or to say it in my own Language ""Skikkelig gebrokkent"". But it is cool to see Norwegian dudes in a movie made in Hollywood. it was just a damn shame they were talentless hacks. The storyline itself is below mediocre. I have a suspicion that Christian Schoyen did this movie just to live the dream, as he clearly does in the film by humping one beautiful babe after another.",negative,jeez immensely boring leading man christian schoyen got worst actor ever seen another thing character movie moved america ten something living years would speak lot better english pulls say language skikkelig gebrokkent cool see norwegian dudes movie made hollywood damn shame talentless hacks storyline mediocre suspicion christian schoyen movie live dream clearly film humping one beautiful babe another,58,130
"Great just great! The West Coast got ""Dirty"" Harry Callahan, the East Coast got Sharky. Burt Reynolds plays Sharky in ""Sharky's Machine"" and I enjoyed every minute of it. Playing a maverick narcotics cop in Atlanta, GA is just what everyone wants. Instead of suspension, he's sent to vice squad. Like in the Dirty Harry movies or any other cop movies, the captain is always going to be the jerk. When I was a kid, I was curious what that movie meant ""Sharky's Machine"". Well I knew who played Sharky, I wonder what his machine was. It was his GROUP of fellow cops. After uncovering the murder, he goes all out to find the perp. When it turns out to be a big time mob boss, Sharky doesn't play around. When he gets the other prostitute into safety, Sharky fights back hard and good despite losing a finger to the thug. And I also like the part where the bad gets blown out of the building through a plate glass window. That was the BOMB! Randy Crawford's ""Street Life"" really put the movie in the right mood, and the movie itself is really a great hit to me, ALWAYS! Rating 4 out of 5 stars.",positive,great great west coast got dirty harry callahan east coast got sharky burt reynolds plays sharky sharky machine enjoyed every minute playing maverick narcotics cop atlanta everyone wants instead suspension sent vice squad like dirty harry movies cop movies captain always going jerk kid curious movie meant sharky machine well knew played sharky wonder machine group fellow cops uncovering murder goes find perp turns big time mob boss sharky play around gets prostitute safety sharky fights back hard good despite losing finger thug also like part bad gets blown building plate glass window bomb randy crawford street life really put movie right mood movie really great hit always rating stars,110,205
"It's made in 2007 and the CG is bad for a movie made in 1998. At one part in the movie there is a stop motion shot of a dinosaur that actually looks good, but this just makes the extremely amateur work on the CG stuff look even worse.<br /><br />The writing, acting, directing and everything else in this movie is just terrible. This is as bad as, if not worse than Raptor Island and 100 million BC... pure crap! Again, as with the other movies, the only scary part about this movie is that it actually got made and is now being aired on the sci-fi channel.<br /><br />I still can't understand how they somehow get people who do have some acting skills to act in these movies and then somehow get them to act as terrible as everyone else in the movie.<br /><br />For those of you who are unsure, the other poster is obviously being sarcastic in his review... or he is one of the people who worked on this movie.",negative,made bad movie made one part movie stop motion shot dinosaur actually looks good makes extremely amateur work stuff look even writing acting directing everything else movie terrible bad worse raptor island million pure crap movies scary part movie actually got made aired still understand somehow get people acting skills act movies somehow get act terrible everyone else unsure poster obviously sarcastic review one people worked movie,67,174
"This movie stinks majorly. The only reason I gave it a 3 was because the graphics were semi charming. It's total disregard for a plot and the lack of even insubstantial surface character development made it seem like just a bunch of nice drawings. This is by far THE worse anime that came out of Japan. I can't believe they actually put their names on this garbage. What a rip off selling this thing for $20. If you haven't seen this don't bother. If you have, I pity you.",negative,movie stinks majorly reason gave graphics semi charming total disregard plot lack even insubstantial surface character development made seem like bunch nice drawings far worse anime came japan believe actually put names garbage rip selling thing seen bother pity,39,89
"We can start with the wooden acting but this film is a disaster. Having grown up in NY I can tell you that this film is an insult to anyone who is familiar with the community or the people. I'm not even a defender of the culture in any way and found this to be a Hollywoodized piece of trash to fit its own fictional, ridiculous culture presentation and language that anyone who watches Seinfeld knows is inaccurate. This is a colossal waste of time and, even worse, is not exactly interesting since the outcome is obvious and the scenes of confrontation are laughably bad. Who acts this way? Nobody.<br /><br />The writer's name sounds Israeli or something of that nature but it is clear he doesn't have a clue about the subject he is writing about. Looking at his bio, it is shocking he lived in New York and wonder how much real connection he had with the community. Even mediocre films like ""A Stranger Among Us"" are better and more closer to the truth than this dreck. Reading this guy's credits it's no wonder he has written scripts on all C grade films that somehow feature stars. shocking. Perhaps he knows someone because this script is even below par for a bad Dolph Lundgren film.",negative,start wooden acting film disaster grown tell film insult anyone familiar community people even defender culture way found hollywoodized piece trash fit fictional ridiculous culture presentation language anyone watches seinfeld knows inaccurate colossal waste time even worse exactly interesting since outcome obvious scenes confrontation laughably bad acts way writer name sounds israeli something nature clear clue subject writing looking bio shocking lived new york wonder much real connection community even mediocre films like stranger among better closer truth dreck reading guy credits wonder written scripts grade films somehow feature stars shocking perhaps knows someone script even par bad dolph lundgren film,101,217
"This movie starts off somewhat slowly and gets running towards the end. Not that that is bad, it was done to illustrate character trait degression of the main character. Consequently, if you are not into tragedies, this is not your movie. It is the thought provoking philosophy of this movie that makes it worthwhile. If you liked Dostoyevsky's 'Crime and Punishment,"" you will probably like this if only for the comparisons. The intriguing question that the movie prompts is, ""What is it that makes a renowned writer completely disregard his publicly-aproved ideas for another set?"" The new ideas are quite opposed to the status quo-if you are a conservative you will not like this movie. <br /><br />Besides other philosophical questions, I must admit that the movie was quite aesthetically pleasing as well. The grassy hillsides and beautiful scenery helped me get past the slow start. Also, there was use of coloric symbolism in representing the mindstate of the main characters. If these sorts of things do not impress you, skip it. Overall I give this movie a 7.",positive,movie starts somewhat slowly gets running towards end bad done illustrate character trait degression main character consequently tragedies movie thought provoking philosophy movie makes worthwhile liked dostoyevsky punishment probably like comparisons intriguing question movie prompts makes renowned writer completely disregard ideas another set new ideas quite opposed status conservative like movie besides philosophical questions must admit movie quite aesthetically pleasing well grassy hillsides beautiful scenery helped get past slow start also use coloric symbolism representing mindstate main characters sorts things impress skip overall give movie,85,179
"This is a slightly uneven entry with one standout sequence involving an over-the-hill gang reminiscing in the diner that once - thirty years previously - was their hideout; one ho-hum duologue between two ageing rock musos; a noirish kidnap turned on its head and an opening sequence (plus epilogue) involving heist artist wannabe Edward Baer and current 'hot' property Anna Magloulis which has its moments. No movie in which Jean Rochefort appears can be dismissed lightly and here he shines as one of the over-the-hill quintet, indeed the film is worth seeing for Rochefort alone but each of the sequences has something to offer and it's definitely worth a look.",positive,slightly uneven entry one standout sequence involving gang reminiscing diner thirty years previously hideout one duologue two ageing rock musos noirish kidnap turned head opening sequence plus epilogue involving heist artist wannabe edward baer current property anna magloulis moments movie jean rochefort appears dismissed lightly shines one quintet indeed film worth seeing rochefort alone sequences something offer definitely worth look,60,110
"I was first introduced to John Waters films by seeing ""Female trouble"" on IFC. I was disgusted but for some sick reason i enjoyed it. Then, i picked up the Pink Flamingos DVD in the John Waters Boxed Set. The movie is about Babs Johnson ""The Filthiest Person Alive"" who lives in a trailer in Maryland with her obese egg obsessed mother,and her deranged son ""Crackers"". In the movie you will see such sick sights as sex with chickens, drag-queens, people eating feces, torture, and all other sorts of random humiliation. The film has a soundtrack from 60's rock and roll artists. The only problem is that some parts of the film seem to drag on and can get a little boring. I found ""Female Trouble"" a little more fun. Rated NC-17 for Explicit sex, violence, and disturbing images. Enjoy.",positive,first introduced john waters films seeing female trouble ifc disgusted sick reason enjoyed picked pink flamingos dvd john waters boxed set movie babs johnson filthiest person alive lives trailer maryland obese egg obsessed mother deranged son crackers movie see sick sights sex chickens people eating feces torture sorts random humiliation film soundtrack rock roll artists problem parts film seem drag get little boring found female trouble little fun rated explicit sex violence disturbing images enjoy,75,140
"This movie has very good acting by virtually all the cast, a gripping story with a chilling ending, great music, and excellent visuals without significant special effects. It is interesting to note though that, like so much science fiction, its predictions for the future don't appear likely to come to pass as early as depicted. That's not to say we're out of the woods yet, but 2022 is now obviously too soon to be in this condition. It shares this failing with a fairly illustrious list of science fiction classics: ""1984"", ""2001: A Space Odyssey (compare its space station with our International Space Station) and Isaac Asimov's ""I Robot"" (positronic brains were to have been invented in the 1990's).",positive,movie good acting virtually cast gripping story chilling ending great music excellent visuals without significant special effects interesting note though like much science fiction predictions future appear likely come pass early depicted say woods yet obviously soon condition shares failing fairly illustrious list science fiction classics space odyssey compare space station international space station isaac asimov robot positronic brains invented,60,119
"I can't help but notice the negative reviews this movie has gotten. To be honest, I saw the preview for this movie, and the premise looked intrigued me. Yes, I rented it after reading others' comments. They are correct in that some of the acting leaves a lot to be desired. They are also correct that one of the best performances of this movie was that of Dr. Graves.<br /><br />Also interesting is Scott Clark, who plays Grant, the kid in the wheelchair. I identify with the character he played, perhaps because I am in a wheelchair.<br /><br />This movie is certainly worth your looking at.",positive,help notice negative reviews movie gotten honest saw preview movie premise looked intrigued yes rented reading others comments correct acting leaves lot desired also correct one best performances movie interesting scott clark plays grant kid wheelchair identify character played perhaps movie certainly worth looking,44,106
"The production quality, cast, premise, authentic New England (Waterbury, CT?) locale and lush John Williams score should have resulted in a 3-4 star collectors item. Unfortunately, all we got was a passable 2 star ""decent"" flick, mostly memorable for what it tried to do.........bring an art house style film mainstream. The small town locale and story of ordinary people is a genre to itself, and if well done, will satisfy most grownups. Jane Fonda was unable to hide her braininess enough to make her character believable. I wondered why she wasn't doing a post doctorate at Yale instead of working in a dead end factory job in Waterbury. Robert DiNiro's character was just a bit too contrived. An illiterate, nice guy loser who turns out to actually be, with a little help from Jane's character, a 1990 version of Henry Ford or Thomas Edison.<br /><br />This genre has been more successfully handled by ""Nobody's Fool"" in the mid 90s and this year's (2003) ""About Schmidt."" I wish that the main stream studios would try more stuff for post adolescents and reserve a couple of screens at the multi cinema complexes for those efforts.<br /><br />I'll give it an ""A"" for effort.",positive,production quality cast premise authentic new england waterbury locale lush john williams score resulted star collectors item unfortunately got passable star decent flick mostly memorable tried bring art house style film mainstream small town locale story ordinary people genre well done satisfy grownups jane fonda unable hide braininess enough make character believable wondered post doctorate yale instead working dead end factory job waterbury robert diniro character bit contrived illiterate nice guy loser turns actually little help jane character version henry ford thomas genre successfully handled nobody fool mid year schmidt wish main stream studios would try stuff post adolescents reserve couple screens multi cinema complexes give effort,107,201
"I've never really been sure whether I liked this documentary or not. It was shown on Channel 4 before a cut down version of Revelations, and is on the Revelations video tape before the uncut show. The documentary is basically friends of Bill saying how great he was for an hour with video clips of the show mixed in, a bit like a trailer for the film you're about to watch. It also features David Letterman grovelling like a worm for dumping Bill off the his show before he died, the reason? Bill made a joke about how Pro-Life people should picket funerals, and Letterman had Pro-life advertising. Anyway look out for the video as Revelations is Bill at his ranting best :)",positive,never really sure whether liked documentary shown channel cut version revelations revelations video tape uncut show documentary basically friends bill saying great hour video clips show mixed bit like trailer film watch also features david letterman grovelling like worm dumping bill show died reason bill made joke people picket funerals letterman advertising anyway look video revelations bill ranting best,59,123
